source,target,status,preserve_query_string,include_subdomains,subpath_matching,wildcard
https://www.findmyisland.com/?island=osm-way-202257211,https://www.findmyisland.com/islands/scotland/abbots-isle/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/abbots-rock-w266684542.html,https://www.findmyisland.com/islands/ireland/abbots-rock-w266684542/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=abbots-rock-w266684542,https://www.findmyisland.com/islands/ireland/abbots-rock-w266684542/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-45834131.html,https://www.findmyisland.com/islands/scotland/aber-isle/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-45834131,https://www.findmyisland.com/islands/scotland/aber-isle/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q130372994.html,https://www.findmyisland.com/islands/wales/aberdyfi-bar/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q130372994,https://www.findmyisland.com/islands/wales/aberdyfi-bar/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q116505278.html,https://www.findmyisland.com/islands/scotland/abernethy-bank/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q116505278,https://www.findmyisland.com/islands/scotland/abernethy-bank/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-1411678839.html,https://www.findmyisland.com/islands/scotland/abi-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-1411678839,https://www.findmyisland.com/islands/scotland/abi-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-relation-6045364.html,https://www.findmyisland.com/islands/ireland/achill-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-relation-6045364,https://www.findmyisland.com/islands/ireland/achill-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-93208278.html,https://www.findmyisland.com/islands/ireland/achillbeg-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-93208278,https://www.findmyisland.com/islands/ireland/achillbeg-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q56665781.html,https://www.findmyisland.com/islands/scotland/achnacree-moss-crannog-210m-sw-of-moss-cottage/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q56665781,https://www.findmyisland.com/islands/scotland/achnacree-moss-crannog-210m-sw-of-moss-cottage/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-469685910.html,https://www.findmyisland.com/islands/ireland/ackeys-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-469685910,https://www.findmyisland.com/islands/ireland/ackeys-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-4554459.html,https://www.findmyisland.com/islands/ireland/adams-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-4554459,https://www.findmyisland.com/islands/ireland/adams-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/wd-Q24659636.html,https://www.findmyisland.com/islands/england/adamant-shoal/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q24659636,https://www.findmyisland.com/islands/england/adamant-shoal/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/agglestone-rock.html,https://www.findmyisland.com/islands/england/agglestone-rock/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=agglestone-rock,https://www.findmyisland.com/islands/england/agglestone-rock/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-relation-5208398.html,https://www.findmyisland.com/islands/ireland/aghillaun/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-relation-5208398,https://www.findmyisland.com/islands/ireland/aghillaun/,301,FALSE,FALSE,FALSE,FALSE
